Date	Positive 	Negative	Neutral	Tweets _Tesla
4/23/19	13			13
1/7/19	5	1	1	7
6/12/19	2		1	3
2/27/19	1		1	2
3/15/19	7			7
3/1/19	0			0
1/10/19	2			2
4/29/19	1			1
5/31/19	8			8
6/25/19	1	1		2
4/22/19	4	1	1	6
1/4/19	1			1
5/24/19	0			0
4/25/19	6			6
2/21/19	0			0
5/23/19	3			3
2/28/19	4			4
5/15/19	0			0
1/31/19	2			2
1/30/19	0			0
